190.206.246.203:8080,cars,black
109.200.155.194:8080,,
116.203.1.177:1994,,
116.203.1.121:1994,,
157.230.12.95:80,,
186.207.76.205:8080,,
104.248.220.253:8080,,
180.178.98.161:48758,,
116.203.1.181:1994,,
83.18.150.53:3128,,
178.128.70.224:8080,,
128.199.74.103:8080,,
51.75.255.208:3128,,
177.135.174.102:8080,,
12.133.183.51:8080,,
181.199.139.182:48576,,
68.183.108.196:80,,
157.230.89.80:80,,
46.228.199.73:3128,,
